"Timestamp","Sex","Age","Platforms you play games on","Have you used Epic Game Store?","How would you rate your user experience of the Epic Game Store?","Choose five (5) features that you would add to Epic Game Store","Are there features Epic Game Store should add as soon as possible?","What other video game store digital platforms have you used?","Choose five (5) features that you personally value the most on digital distribution platform from the listed:"
"2020/05/02 4:08:19 pm GMT+3","Male","21-25","Computer","No","","","","Steam;Origin;GOG;Uplay Store","Cloud Saves;Friends List and Chat;Offline Play;User Profiles;User Reviews"
"2020/05/02 4:11:01 pm GMT+3","Male","26-30","Computer;Nintendo","No","","","","Steam;Origin;GOG","Cloud Saves;Inventory Sorting;Offline Play;Universal Controller Support;User Reviews"
"2020/05/03 3:53:27 pm GMT+3","Male","21-25","Computer;Playstation","No","","","","Steam","3rd Party Keys;DRM Free Support;Linux/MacOS Support;Mod Distribution Workshop;User Reviews"
"2020/05/04 3:17:28 pm GMT+3","Male","31-40","Computer;Nintendo","Yes","3","Friends List and Chat;Mod Distribution Workshop;Overlay;Screenshot Capture / Share;User Reviews","-","",""
"2020/05/04 3:22:14 pm GMT+3","Male","31-40","Computer;Mobile","No","","","","Steam;Origin;GOG","Cloud Saves;Groups;Mod Distribution Workshop;Offline Play;User Reviews"
"2020/05/06 12:47:19 pm GMT+3","Male","21-25","Computer;Playstation","No","","","","Steam;PS Store","Big Picture / TV Mode;Friends List and Chat;Linux/MacOS Support;Offline Play;User Reviews"
"2020/05/06 12:50:42 pm GMT+3","Male","21-25","Playstation","No","","","","None","Achievements;Cloud Saves;Groups;Offline Play;Streaming to Other Services"
"2020/05/06 4:58:49 pm GMT+3","Male","26-30","Computer;Playstation;Xbox","No","","","","Steam;Origin","Cloud Saves;Early Access;Offline Play;Streaming to Other Services;User Reviews"
"2020/05/07 12:46:55 am GMT+3","Male","26-30","Computer;Playstation;Xbox","Yes","3","DRM Free Support;Early Access;Offline Play;Universal Controller Support","yes","",""
"2020/05/07 3:04:28 pm GMT+3","Male","21-25","Computer;Mobile","Yes","4","DRM Free Support;Friends List and Chat;Linux Support;Refunds","GDPR Compliance","",""
"2020/05/08 1:26:58 pm GMT+3","Male","31-40","Computer","Yes","2","Cloud Saves;Early Access;Forums;Friends List and Chat;Library Sorting;Refunds;User Reviews;Wish Lists","shopping cart","",""
